model,data,accuracy_is,accuracy_oos,precision_oos,recall_oos,f1_oos
GaussianNB,gpt,0.786698621929299,0.7631578947368421,0.8531834753358712,0.7631578947368421,0.7973021799349633
GradientBoostingClassifier,gpt,0.9850209706411025,0.9210526315789473,0.9134571121681756,0.9210526315789473,0.9148252801503576
SGDClassifier,gpt,0.9358897543439185,0.9135338345864662,0.9212122971521467,0.9135338345864662,0.8886680255101308
RandomForestClassifier,gpt,0.9886159376872379,0.9172932330827067,0.9095727395986238,0.9172932330827067,0.911620397146713
BernoulliNB,gpt,0.7944877171959257,0.7593984962406015,0.8430992091233777,0.7593984962406015,0.7924930904335937
DecisionTreeClassifier,gpt,0.9886159376872379,0.9135338345864662,0.9148131137727641,0.9135338345864662,0.9141507836627174
Logistic_Regression,gpt,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,gpt,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,gpt,0.956860395446375,0.9210526315789473,0.933171627815727,0.9210526315789473,0.925434065961222
GaussianNB,ft,0.7333732774116237,0.7293233082706767,0.8326040144925594,0.7293233082706767,0.769951541130641
GradientBoostingClassifier,ft,0.9682444577591373,0.924812030075188,0.920515574650913,0.924812030075188,0.912374079759757
SGDClassifier,ft,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,ft,0.9856201318154584,0.9135338345864662,0.9044652447445143,0.9135338345864662,0.9067134020694393
BernoulliNB,ft,0.762732174955063,0.7518796992481203,0.8275637701681258,0.7518796992481203,0.7835297703718755
DecisionTreeClassifier,ft,0.9856201318154584,0.8909774436090225,0.8863022269760873,0.8909774436090225,0.8884527107241789
Logistic_Regression,ft,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,ft,0.9119233073696824,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,ft,0.9161174355901738,0.8947368421052632,0.8736842105263158,0.8947368421052632,0.8621958121109224
GaussianNB,w2v,0.7860994607549431,0.7669172932330827,0.8306773222364087,0.7669172932330827,0.7939715359828142
GradientBoostingClassifier,w2v,0.9730377471539844,0.9097744360902256,0.9008101475745998,0.9097744360902256,0.9035858877964141
SGDClassifier,w2v,0.883762732174955,0.8458646616541353,0.8609807890433034,0.8458646616541353,0.8527563492264605
RandomForestClassifier,w2v,0.9856201318154584,0.9210526315789473,0.9160515396374754,0.9210526315789473,0.9178778851072794
BernoulliNB,w2v,0.6554823247453565,0.706766917293233,0.8479157862843748,0.706766917293233,0.756686358754028
DecisionTreeClassifier,w2v,0.9856201318154584,0.9097744360902256,0.9097744360902256,0.9097744360902256,0.9097744360902256
Logistic_Regression,w2v,0.9149191132414619,0.8872180451127819,0.8514748409485251,0.8872180451127819,0.8523526558331312
SVC,w2v,0.9173157579388855,0.8872180451127819,0.8461494645705172,0.8872180451127819,0.8410338345864661
Perceptron,w2v,0.9071300179748353,0.8872180451127819,0.8487918268954829,0.8872180451127819,0.8470396402061142
GaussianNB,glove,0.7729179149191132,0.7593984962406015,0.8618996470768759,0.7593984962406015,0.7963798384851017
GradientBoostingClassifier,glove,0.981426003594967,0.9097744360902256,0.8980111569245693,0.9097744360902256,0.8996147393276581
SGDClassifier,glove,0.9406830437387658,0.9097744360902256,0.9011983082706767,0.9097744360902256,0.8890518980377773
RandomForestClassifier,glove,0.9856201318154584,0.9172932330827067,0.9095727395986238,0.9172932330827067,0.911620397146713
BernoulliNB,glove,0.8214499700419413,0.7969924812030075,0.8421569979995861,0.7969924812030075,0.816392047553652
DecisionTreeClassifier,glove,0.9856201318154584,0.9097744360902256,0.9048679390784653,0.9097744360902256,0.9069311935300435
Logistic_Regression,glove,0.9179149191132414,0.8947368421052632,0.9059011164274322,0.8947368421052632,0.8516315789473684
SVC,glove,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,glove,0.9167165967645297,0.8984962406015038,0.9089167786386118,0.8984962406015038,0.8597180690841697
GaussianNB,bert,0.74415817855003,0.7180451127819549,0.8400976262646144,0.7180451127819549,0.7636069095455267
GradientBoostingClassifier,bert,0.9718394248052726,0.9135338345864662,0.9027648803283107,0.9135338345864662,0.9004544214746311
SGDClassifier,bert,0.9706411024565608,0.9210526315789473,0.9199307741199354,0.9210526315789473,0.9204670399616773
RandomForestClassifier,bert,0.9856201318154584,0.9172932330827067,0.9095727395986238,0.9172932330827067,0.911620397146713
BernoulliNB,bert,0.7878969442780108,0.7481203007518797,0.8361914638813784,0.7481203007518797,0.7833416298480053
DecisionTreeClassifier,bert,0.9856201318154584,0.8984962406015038,0.8970330671725145,0.8984962406015038,0.897743337093585
Logistic_Regression,bert,0.957459556620731,0.9172932330827067,0.908939014202172,0.9172932330827067,0.9036114877357327
SVC,bert,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,bert,0.9460754943079689,0.8984962406015038,0.8999860667454498,0.8984962406015038,0.8992204851692769
GaussianNB,tfidf,0.5260635110844817,0.5150375939849624,0.8608977425556688,0.5150375939849624,0.5954054388776908
GradientBoostingClassifier,tfidf,0.9484721390053924,0.8947368421052632,0.8717360261117911,0.8947368421052632,0.8666098444491795
SGDClassifier,tfidf,0.9418813660874775,0.8872180451127819,0.8514748409485251,0.8872180451127819,0.8523526558331312
RandomForestClassifier,tfidf,0.9802276812462553,0.9097744360902256,0.8992144996637936,0.9097744360902256,0.901687829532337
BernoulliNB,tfidf,0.9155182744158179,0.8872180451127819,0.8569666353383458,0.8872180451127819,0.8613148725472216
DecisionTreeClassifier,tfidf,0.9802276812462553,0.9210526315789473,0.9160515396374754,0.9210526315789473,0.9178778851072794
Logistic_Regression,tfidf,0.9125224685440384,0.8834586466165414,0.786778266420769,0.8834586466165414,0.8323203217624902
SVC,tfidf,0.9400838825644098,0.9022556390977443,0.911955461172014,0.9022556390977443,0.867434354845299
Perceptron,tfidf,0.9460754943079689,0.8984962406015038,0.8999860667454498,0.8984962406015038,0.8992204851692769
