model,data,accuracy_is,accuracy_oos,precision_oos,recall_oos,f1_oos
GaussianNB,gpt,0.6872378669862192,0.7030075187969925,0.8522801967544795,0.7030075187969925,0.754441624862908
GradientBoostingClassifier,gpt,0.9916117435590174,0.9398496240601504,0.9397180451127819,0.9398496240601504,0.9315626694218099
SGDClassifier,gpt,0.9364889155182744,0.9135338345864662,0.9212122971521467,0.9135338345864662,0.8886680255101307
RandomForestClassifier,gpt,0.9994008388256441,0.9548872180451128,0.954688550644905,0.9548872180451128,0.9508439147661686
BernoulliNB,gpt,0.6938286399041342,0.6954887218045113,0.8510739379753564,0.6954887218045113,0.7487523256705247
DecisionTreeClassifier,gpt,1.0,0.9360902255639098,0.9351959120848827,0.9360902255639098,0.9356161752070721
Logistic_Regression,gpt,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,gpt,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,gpt,0.9916117435590174,0.9511278195488722,0.95046105004983,0.9511278195488722,0.9507653104524668
GaussianNB,ft,0.6938286399041342,0.706766917293233,0.82847532683059,0.706766917293233,0.7537242639308551
GradientBoostingClassifier,ft,0.9724385859796285,0.9398496240601504,0.9397180451127819,0.9398496240601504,0.9315626694218099
SGDClassifier,ft,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,ft,1.0,0.9586466165413534,0.9584164492864815,0.9586466165413534,0.9553846705549491
BernoulliNB,ft,0.7525464349910126,0.7518796992481203,0.8322505292357106,0.7518796992481203,0.7848127105093049
DecisionTreeClassifier,ft,1.0,0.9398496240601504,0.9398496240601504,0.9398496240601504,0.9398496240601504
Logistic_Regression,ft,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,ft,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,ft,0.9149191132414619,0.8909774436090225,0.8631060409644802,0.8909774436090225,0.85478283233234
GaussianNB,w2v,0.7357699221090473,0.7368421052631579,0.8245946935650321,0.7368421052631579,0.7730393176617433
GradientBoostingClassifier,w2v,0.9862192929898143,0.9285714285714286,0.9223767921828864,0.9285714285714286,0.9213673046858496
SGDClassifier,w2v,0.9197124026363092,0.8796992481203008,0.8468859155763424,0.8796992481203008,0.8561301212214208
RandomForestClassifier,w2v,1.0,0.9548872180451128,0.9533856997187454,0.9548872180451128,0.9517929438982069
BernoulliNB,w2v,0.6440982624325944,0.7105263157894737,0.8387744252405906,0.7105263157894737,0.7580961199039379
DecisionTreeClassifier,w2v,1.0,0.9473684210526315,0.949055330634278,0.9473684210526315,0.9481053354043997
Logistic_Regression,w2v,0.9161174355901738,0.8834586466165414,0.8430632565970912,0.8834586466165414,0.8499438604701762
SVC,w2v,0.9125224685440384,0.8909774436090225,0.9029082139310541,0.8909774436090225,0.8431383655197487
Perceptron,w2v,0.9059316956261234,0.8721804511278195,0.8443383458646616,0.8721804511278195,0.8545706725213463
GaussianNB,glove,0.6393049730377471,0.6691729323308271,0.846915656285692,0.6691729323308271,0.7286004384775983
GradientBoostingClassifier,glove,0.9934092270820851,0.943609022556391,0.9434820218512262,0.943609022556391,0.9365660257245438
SGDClassifier,glove,0.9430796884361894,0.9210526315789473,0.9275035838623796,0.9210526315789473,0.9014790056745859
RandomForestClassifier,glove,1.0,0.9586466165413534,0.9584164492864815,0.9586466165413534,0.9553846705549491
BernoulliNB,glove,0.7555422408627921,0.7631578947368421,0.8438561417538248,0.7631578947368421,0.795174750061968
DecisionTreeClassifier,glove,1.0,0.943609022556391,0.9406295822543912,0.943609022556391,0.9413413465051995
Logistic_Regression,glove,0.920311563810665,0.9022556390977443,0.911955461172014,0.9022556390977443,0.867434354845299
SVC,glove,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,glove,0.9472738166566806,0.9285714285714286,0.9282022325500587,0.9285714285714286,0.9156934281773773
GaussianNB,bert,0.6123427201917315,0.6390977443609023,0.842202349489218,0.6390977443609023,0.7050444292549557
GradientBoostingClassifier,bert,0.9862192929898143,0.9398496240601504,0.9397180451127819,0.9398496240601504,0.9315626694218099
SGDClassifier,bert,0.9622528460155781,0.9172932330827067,0.9243457480911581,0.9172932330827067,0.8951934492100697
RandomForestClassifier,bert,1.0,0.9586466165413534,0.9584164492864815,0.9586466165413534,0.9553846705549491
BernoulliNB,bert,0.7429598562013181,0.7368421052631579,0.8434862666871259,0.7368421052631579,0.7772904483430798
DecisionTreeClassifier,bert,1.0,0.9323308270676691,0.9323308270676691,0.9323308270676691,0.9323308270676691
Logistic_Regression,bert,0.9730377471539844,0.9360902255639098,0.9359254710481382,0.9360902255639098,0.9264228332638579
SVC,bert,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,bert,0.9257040143798682,0.9022556390977443,0.911955461172014,0.9022556390977443,0.867434354845299
